order_id,date,category,region,segment,channel,manager,quantity,amount,ad_budget,discount_pct
1031,2024-01-01,Электроника,Москва,Новый,Маркетплейс,Менеджер 2,1,12919.0,1003.0,20
994,2024-01-01,Красота,Екатеринбург,Новый,Мобильное приложение,Менеджер 5,1,2463.0,448.0,5
3590,2024-01-01,Спорт,Москва,Постоянный,Мобильное приложение,Менеджер 6,4,944.0,319.0,0
9712,2024-01-01,Красота,Екатеринбург,Постоянный,Маркетплейс,Менеджер 8,1,1674.0,0.0,15
6041,2024-01-01,Электроника,Санкт-Петербург,Новый,Маркетплейс,Менеджер 2,3,39858.0,,5
2016,2024-01-01,Одежда,Казань,Постоянный,Сайт,Менеджер 4,1,1297.0,0.0,15
448,2024-01-01,Одежда,Санкт-Петербург,Постоянный,Сайт,Менеджер 4,1,8359.0,0.0,15
6201,2024-01-01,Спорт,Санкт-Петербург,Новый,Сайт,Менеджер 4,2,6854.0,423.0,0
4202,2024-01-01,Дом и сад,Казань,Новый,Сайт,Менеджер 8,2,3185.0,66.0,10
6048,2024-01-01,Одежда,Москва,VIP,Маркетплейс,Менеджер 6,1,9398.0,1406.0,0
8526,2024-01-01,Электроника,Екатеринбург,Новый,Мобильное приложение,Менеджер 1,1,34584.0,2302.0,10
8105,2024-01-01,Электроника,Новосибирск,Постоянный,Сайт,Менеджер 2,3,26374.0,4237.0,15
650,2024-01-01,Спорт,Санкт-Петербург,Новый,Сайт,Менеджер 1,4,2209.0,0.0,15
1993,2024-01-01,Книги,Москва,Новый,Мобильное приложение,Менеджер 5,1,1039.0,0.0,10
6623,2024-01-01,Спорт,Москва,Постоянный,Сайт,Менеджер 8,4,16444.0,2920.0,0
7416,2024-01-01,Электроника,Москва,VIP,Сайт,Менеджер 3,3,15396.0,1891.0,20
851,2024-01-01,Одежда,Москва,Новый,Маркетплейс,Менеджер 7,2,3057.0,0.0,0
1167,2024-01-01,Продукты,Москва,Новый,Сайт,Менеджер 1,2,906.0,132.0,20
679,2024-01-01,Спорт,Екатеринбург,Новый,Сайт,Менеджер 6,1,10435.0,1231.0,0
3285,2024-01-01,Красота,Москва,Новый,Мобильное приложение,Менеджер 5,3,1941.0,0.0,0
758,2024-01-01,Одежда,Казань,Постоянный,Сайт,Менеджер 7,1,8191.0,1011.0,10
2076,2024-01-01,Дом и сад,Москва,Новый,Маркетплейс,Менеджер 4,1,11336.0,1818.0,0
6571,2024-01-01,Электроника,Казань,VIP,Сайт,Менеджер 7,4,42784.0,2547.0,0
